Region,material,Site,Feature Number,Excavation istitute,BP,Error,Name
경기,Charred grain,가평 대성리,3호 주,경기문화재연구원,1850,20,가평 대성리3호 주
경기,Charred grain,가평 대성리,5호 주,경기문화재연구원,1855,25,가평 대성리5호 주
경기,Charred grain,가평 대성리,6호 주,경기문화재연구원,1865,20,가평 대성리6호 주
경기,Charred grain,가평 대성리,10호 주,경기문화재연구원,1790,20,가평 대성리10호 주
경기,Charred grain,가평 대성리,11호 주,경기문화재연구원,1855,25,가평 대성리11호 주
경기,Charred grain,가평 대성리,14호 주,경기문화재연구원,1850,25,가평 대성리14호 주
경기,Charred grain,가평 대성리,16호 주,경기문화재연구원,1840,20,가평 대성리16호 주
경기,Charred grain,가평 대성리,18호 주,경기문화재연구원,1890,25,가평 대성리18호 주
경기,Charred grain,가평 대성리,19호 주 ,경기문화재연구원,1930,20,가평 대성리19호 주 
경기,Charred grain,가평 대성리,22호 주,경기문화재연구원,1845,20,가평 대성리22호 주
경기,Charred grain,가평 대성리,25호 주,경기문화재연구원,1825,20,가평 대성리25호 주
경기,Charred grain,가평 대성리,1호 주,겨레문화유산연구원,1855,20,가평 대성리1호 주
경기,Charred grain,가평 대성리,4호 주,겨레문화유산연구원,1875,20,가평 대성리4호 주
경기,Charred grain,가평 대성리,10호 주,겨레문화유산연구원,1870,20,가평 대성리10호 주
경기,Charred grain,양평 양수리,3호 주,한양문화재연구원,1930,20,양평 양수리3호 주
경기,Charred grain,양평 양수리,5호 주,한양문화재연구원,1880,20,양평 양수리5호 주
경기,Charred grain,양평 양수리,11호 주 ,한양문화재연구원,1920,20,양평 양수리11호 주 
경기,Charred grain,연천 강내리,7호 주,고려문화재연구원,1610,50,연천 강내리7호 주
경기,Charred grain,연천 강내리,9호 주,고려문화재연구원,1990,40,연천 강내리9호 주
경기,Charred grain,연천 강내리,9호 주,고려문화재연구원,1830,40,연천 강내리9호 주
경기,Charred grain,연천 강내리,11호 주,고려문화재연구원,1870,40,연천 강내리11호 주
경기,Charred grain,연천 강내리,15호 주,고려문화재연구원,1530,40,연천 강내리15호 주
경기,Charred grain,연천 강내리,17호 주,고려문화재연구원,1620,40,연천 강내리17호 주
경기,Charred grain,연천 강내리,22호 주,고려문화재연구원,1900,90,연천 강내리22호 주
경기,Charred grain,연천 강내리,24호 주,고려문화재연구원,1920,40,연천 강내리24호 주
경기,Charred grain,연천 강내리,26호 주,고려문화재연구원,1610,40,연천 강내리26호 주
경기,Charred grain,연천 강내리,27호 주,고려문화재연구원,1750,40,연천 강내리27호 주
경기,Charred grain,연천 강내리,30호 주,고려문화재연구원,1790,40,연천 강내리30호 주
경기,Charred grain,연천 강내리,32호 주,고려문화재연구원,1710,40,연천 강내리32호 주
경기,Charred grain,연천 강내리,37호 주,고려문화재연구원,1670,50,연천 강내리37호 주
경기,Charred grain,연천 강내리,38호 주,고려문화재연구원,1750,50,연천 강내리38호 주
경기,Charred grain,연천 강내리,41호 주,고려문화재연구원,1700,40,연천 강내리41호 주
