X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.378916,37.680931,경기,Charcoal,가평 대성리,1,겨례문화유산연구원,1881,8,백제(呂·凸자형),151000,겨례문화유산연구원 가평 대성리 1  ,경기북부
127.378916,37.680931,경기,Charred seed,가평 대성리,10,겨례문화유산연구원,1899,9,백제(呂·凸자형),829000,겨례문화유산연구원 가평 대성리 10,경기북부
127.378916,37.680931,경기,Charred material,가평 대성리,10,경기문화재연구원,1859,17,백제(呂·凸자형),780544,경기문화재연구원 가평 대성리 10 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,11,경기문화재연구원,1855,25,백제(呂·凸자형),763396,경기문화재연구원 가평 대성리 11 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,14,경기문화재연구원,1871,16,백제(呂·凸자형),836006,경기문화재연구원 가평 대성리 14 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,16,경기문화재연구원,1840,20,백제(呂·凸자형),X,경기문화재연구원 가평 대성리 16 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,18,경기문화재연구원,1890,25,백제(呂·凸자형),742574,경기문화재연구원 가평 대성리 18 ,경기북부
127.378916,37.680931,경기,Charred material,가평 대성리,19,경기문화재연구원,1930,20,백제(呂·凸자형),X,경기문화재연구원 가평 대성리 19 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,22,경기문화재연구원,1845,20,백제(방형),109526,경기문화재연구원 가평 대성리 22 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,25,경기문화재연구원,1825,20,백제(呂·凸자형),X,경기문화재연구원 가평 대성리 25 ,경기북부
127.378916,37.680931,경기,"Charcoal, Charred material",가평 대성리,3,경기문화재연구원,1875,15,백제(방형),182850,경기문화재연구원 가평 대성리 3 ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,4,겨례문화유산연구원,1917,9,백제(呂·凸자형),617000,겨례문화유산연구원 가평 대성리 4  ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,5,경기문화재연구원,1855,25,백제(呂·凸자형),X,경기문화재연구원 가평 대성리 5 ,경기북부
127.378916,37.680931,경기,Charred material,가평 대성리,6,경기문화재연구원,1865,20,백제(呂·凸자형),X,경기문화재연구원 가평 대성리 6,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,6,겨례문화유산연구원,1970,20,백제(呂·凸자형),X,겨례문화유산연구원 가평 대성리 6  ,경기북부
127.378916,37.680931,경기,Charcoal,가평 대성리,7,겨례문화유산연구원,1925,25,백제(방형),X,겨례문화유산연구원 가평 대성리 7  ,경기북부
127.3945,37.76334,경기,Charcoal,가평 덕현리,C-1,한림대학교박물관,1831,35,백제(呂·凸자형),252100,한림대학교박물관 가평 덕현리 C-1,경기북부
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-10,국토문화재연구원,1477,24,백제(방형),94764,국토문화재연구원 가평 목동리 삼국-10,경기북부
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-2,국토문화재연구원,1490,22,백제(방형),X,국토문화재연구원 가평 목동리 삼국-2,경기북부
127.547765,37.885677,경기,Charcoal,가평 목동리,삼국-5,국토문화재연구원,1379,19,백제(방형),186792,국토문화재연구원 가평 목동리 삼국-5,경기북부
127.512166,37.831534,경기,Charcoal,가평 읍내리,2,경강문화재연구원,1275,22,신라(방형),183168,경강문화재연구원 가평 읍내리 2,경기북부
127.512166,37.831534,경기,Charcoal,가평 읍내리,3,경강문화재연구원,1740,30,신라(방형),113900,경강문화재연구원 가평 읍내리 3,경기북부
