Name,원삼국1,원삼국2,원삼국3,한성백제1,한성백제2,한성백제3,한성백제4
가평 대성리,8,35,11,0,0,0,0
가평 덕현리,0,0,3,0,0,0,0
가평 마장리,0,0,0,0,2,0,0
가평 읍내리,0,2,1,0,0,0,0
가평 청평리,0,0,11,2,3,0,0
가평 항사리,0,2,16,6,6,3,2
가평 항사리 213-5,0,0,2,0,0,0,0
고양 구산동,0,0,3,0,0,0,0
광명 소하동,0,0,0,0,3,3,0
광주 곤지암리,0,0,50,17,13,23,11
광주 역동,0,0,4,10,3,0,0
광주 장지동,0,0,13,4,4,9,10
구리 토평동,0,5,5,1,2,2,0
김포 양곡,0,0,0,0,5,0,0
김포 양촌,0,0,7,8,16,2,0
김포 운양동,0,0,1,2,0,0,0
김포 학운리,0,0,0,1,0,0,0
김포 한강 신도시1,0,0,4,2,0,0,0
남양주 금남리,0,0,7,0,0,0,0
남양주 장현리,0,0,29,8,21,10,0
남양주 지금동,0,0,0,6,0,0,0
몽촌토성,0,0,0,0,0,0,5
문산 당동리,0,0,12,4,0,0,0
부천 여월동,0,0,0,0,1,0,0
서울 망우동,0,0,0,0,1,8,0
서울 암사동,0,0,0,0,4,2,3
서울 우면동,0,0,0,0,3,3,4
서울 천호동 458-3,0,0,0,0,0,0,1
성남 동판교,0,0,0,0,0,3,26
성남 창곡동,0,0,0,0,0,0,2
수원 서둔동,0,0,6,0,0,0,0
시흥 매화동,0,0,0,0,0,2,0
"시흥 목감동, 조남동",0,0,0,0,0,6,0
"시흥 은행동, 계수동",0,0,12,7,0,0,0
안산 신길동,0,0,0,0,0,4,0
안성 도기동 436-1,0,0,0,0,0,0,1
안성 도기동·건지리·동변리,0,0,0,0,0,3,0
안성 매산리,0,0,0,12,0,0,0
안성 중복리,0,0,1,0,0,0,0
안성 칠곡리,0,0,0,0,0,6,0
안양 관양동,0,0,0,0,0,6,5
양구 고대리,0,18,3,0,0,0,0
양주 광석리,0,0,2,2,0,0,0
양주 마전동,0,0,0,0,5,0,0
양주 우고리,0,0,1,0,0,0,0
양평 상자포리,0,0,0,0,1,0,0
양평 양근리,0,0,5,0,0,0,0
양평 양수리,4,25,21,2,0,0,0
양평 하자포리,0,0,10,3,14,1,0
여주 사곡리,0,0,0,0,0,0,1
여주 연양리,0,0,13,4,0,20,0
여주 태평리,0,0,0,0,0,7,0
연천 강내리,0,15,40,0,11,0,0
연천 남계리,0,0,4,0,0,0,0
연천 삼거리,2,2,0,0,0,0,0
연천 삼곶리,0,0,12,,,,
연천 차탄리,0,4,2,0,0,0,0
연천 합수리,0,0,5,1,0,0,0
영월 삼옥리,0,0,6,0,0,0,0
영월 외룡리,0,0,0,0,0,0,0
영월 주천리,0,0,18,0,0,0,0
영월 팔괘리,0,0,1,0,0,0,0
오산 가수동,0,0,0,0,0,0,3
오산 내삼미동,0,0,0,0,0,0,36
오산 외삼미동,0,0,0,0,0,0,17
